Symbol,Alert Price
WIPRO,415
UPL,532
ULTRACEMCO,5750
TITAN,1350
TECHM,850
TATASTEEL,610
TATAMOTORS,257
TCS,2886
SUNPHARMA,570
SBIN,373
SHREECEM,26100
SBILIFE,810
RELIANCE,1825
POWERGRID,220
ONGC,100
NTPC,100
NESTLEIND,15400
MARUTI,6500
M&M,760
LT,1340
KOTAKBANK,1750
JSWSTEEL,325
ITC,205
INFY,1120
INDUSINDBK,814
IOC,98
ICICIBANK,560
HDFC,2490
HINDUNILVR,2080
HINDALCO,278
HEROMOTOCO,3000
HDFCLIFE,245
HDFCBANK,1470
HCLTECH,817
GRASIM,948
GAIL,124
EICHERMOT,2277
DRREDDY,4240
DIVISLAB,2987
COALINDIA,135
CIPLA,717
BRITANNIA,3280
BHARTIARTL,553
BPCL,410
BAJAJFINSV,9320
BAJFINANCE,4926
BAJAJ-AUTO,3480
AXISBANK,670
ASIANPAINT,2260
ADANIPORTS,520
